,Latin name,Polish name,Category,Status
197,Hydrobates leucorhous,nawałnik duży,A,Z
198,Fulmarus glacialis,fulmar,A,Z
199,Calonectris diomedea,burzyk żółtodzioby,A,z
200,Ardenna grisea,burzyk szary,A,Z
201,Puffinus puffinus,burzyk północny,A,z
202,Puffinus mauretanicus,burzyk balearski,A,z
203,Ciconia nigra,bocian czarny,A,L
204,Ciconia ciconia,bocian biały,A,L
205,Pelecanus onocrotalus,pelikan różowy,A,Z
206,Pelecanus crispus,pelikan kędzierzawy,A,Z
207,Botaurus stellaris,bąk,A,L
208,Ixobrychus minutus,bączek,A,L
209,Nycticorax nycticorax,ślepowron,A,L
210,Ardeola ralloides,czapla modronosa,A,Z
211,Bubulcus ibis,czapla złotawa,A,Z
212,Ardea cinerea,czapla siwa,A,L
213,Ardea purpurea,czapla purpurowa,A,l P
214,Ardea alba,czapla biała,A,L
215,Egretta garzetta,czapla nadobna,A,l P
216,Platalea leucorodia,warzęcha,A,Z
217,Plegadis falcinellus,ibis kasztanowaty,A,Z
218,Morus bassanus,głuptak,A,Z
219,Microcarbo pygmeus,kormoran mały,A,Z
220,Gulosus aristotelis,kormoran czubaty,A,z
221,Phalacrocorax carbo,kormoran,A,L
222,Pandion haliaetus,rybołów,A,l P
223,Elanus caeruleus,kaniuk,A,Z
224,Pernis apivorus,trzmielojad,A,L
225,Gypaetus barbatus,orłosęp,A,z
226,Neophron percnopterus,ścierwnik,A,Z
227,Circaetus gallicus,gadożer,A,l P
228,Gyps fulvus,sęp płowy,A,Z
229,Aegypius monachus,sęp kasztanowaty,A,Z
230,Clanga pomarina,orlik krzykliwy,A,L
231,Clanga clanga,orlik grubodzioby,A,l P
232,Aquila nipalensis,orzeł stepowy,A,Z
233,Aquila heliaca,orzeł cesarski,A,Z
234,Aquila chrysaetos,orzeł przedni,A,l P
235,Aquila fasciata,orzeł południowy,A,z
236,Hieraaetus pennatus,orzełek,A,(l) Z
237,Circus aeruginosus,błotniak stawowy,A,L
238,Circus cyaneus,błotniak zbożowy,A,l P
239,Circus macrourus,błotniak stepowy,A,P
240,Circus pygargus,błotniak łąkowy,A,L
241,Accipiter brevipes,krogulec krótkonogi,A,z
242,Accipiter nisus,krogulec,A,L
243,Accipiter gentilis,jastrząb,A,L
244,Haliaeetus leucoryphus,bielik wschodni,B,(z)
245,Haliaeetus albicilla,bielik,A,L
246,Milvus milvus,kania ruda,A,L
247,Milvus migrans,kania czarna,A,L
248,Buteo lagopus,myszołów włochaty,A,P
249,Buteo buteo,myszołów,A,L
250,Buteo rufinus,kurhannik,A,P
251,Tyto alba,płomykówka,A,L
252,Surnia ulula,sowa jarzębata,A,Z
253,Glaucidium passerinum,sóweczka,A,L
254,Athene noctua,pójdźka,A,L
255,Aegolius funereus,włochatka,A,L
256,Otus scops,syczek,A,Z
257,Asio otus,uszatka,A,L
258,Asio flammeus,uszatka błotna,A,l P
259,Strix aluco,puszczyk,A,L
260,Strix uralensis,puszczyk uralski,A,L
261,Strix nebulosa,puszczyk mszarny,A,l Z
262,Bubo scandiacus,puchacz śnieżny,A,Z
263,Bubo bubo,puchacz,A,L
264,Upupa epops,dudek,A,L
265,Jynx torquilla,krętogłów,A,L
266,Picus canus,dzięcioł zielonosiwy,A,L
267,Picus viridis,dzięcioł zielony,A,L
268,Dryocopus martius,dzięcioł czarny,A,L
269,Dendrocoptes medius,dzięcioł średni,A,L
270,Dryobates minor,dzięciołek,A,L
271,Dendrocopos major,dzięcioł duży,A,L
272,Dendrocopos syriacus,dzięcioł białoszyi,A,L
273,Dendrocopos leucotos,dzięcioł białogrzbiety,A,L
274,Picoides tridactylus,dzięcioł trójpalczasty,A,L
275,Merops apiaster,żołna,A,L
276,Coracias garrulus,kraska,A,l P
277,Alcedo atthis,zimorodek,A,L
278,Ceryle rudis,rybaczek srokaty,B,(z)
279,Falco naumanni,pustułeczka,A,(l) Z
280,Falco tinnunculus,pustułka,A,L
281,Falco vespertinus,kobczyk,A,(l) P
282,Falco columbarius,drzemlik,A,P
283,Falco subbuteo,kobuz,A,L
284,Falco eleonorae,sokół skalny,A,z
285,Falco cherrug,raróg,A,l Z
286,Falco biarmicus,raróg górski,A,z
287,Falco rusticolus,białozór,A,Z
288,Falco peregrinus,sokół wędrowny,A,l P
289,Vireo olivaceus,wireonek czerwonooki,A,z
290,Oriolus oriolus,wilga,A,L
291,Lanius collurio,gąsiorek,A,L
292,Lanius phoenicuroides,dzierzba rdzawosterna,A,z
293,Lanius isabellinus,dzierzba pustynna,A,z
294,Lanius minor,dzierzba czarnoczelna,A,l Z
295,Lanius borealis,srokosz północny,A,z
296,Lanius excubitor,srokosz,A,L
297,Lanius senator,dzierzba rudogłowa,A,(l) Z
298,Pyrrhocorax graculus,wieszczek,A,(l) z
299,Perisoreus infaustus,sójka syberyjska,A,z
300,Garrulus glandarius,sójka,A,L
301,Pica pica,sroka,A,L
302,Nucifraga caryocatactes,orzechówka,A,L
303,Coloeus monedula,kawka,A,L
304,Corvus frugilegus,gawron,A,L
305,Corvus corax,kruk,A,L
306,Corvus corone,czarnowron,A,l P
307,Corvus cornix,wrona siwa,A,L
308,Periparus ater,sosnówka,A,L
309,Lophophanes cristatus,czubatka,A,L
310,Poecile palustris,sikora uboga,A,L
311,Poecile montanus,czarnogłówka,A,L
312,Cyanistes caeruleus,modraszka,A,L
313,Cyanistes cyanus,sikora lazurowa,A,Z
314,Parus major,bogatka,A,L
315,Remiz pendulinus,remiz,A,L
316,Lullula arborea,lerka,A,L
317,Alauda leucoptera,skowronek białoskrzydły,A,z
318,Alauda arvensis,skowronek,A,L
319,Galerida cristata,dzierlatka,A,L
320,Eremophila alpestris,górniczek,A,P
321,Calandrella brachydactyla,skowrończyk krótkopalcowy,A,Z
322,Melanocorypha bimaculata,kalandra dwuplamista,A,z
323,Melanocorypha calandra,kalandra szara,A,z
324,Melanocorypha yeltoniensis,kalandra czarna,A,z
325,Alaudala rufescens,skowrończyk mały,A,z
326,Panurus biarmicus,wąsatka,A,L
327,Helopsaltes certhiola,świerszczak melodyjny,A,z
328,Locustella luscinioides,brzęczka,A,L
329,Locustella fluviatilis,strumieniówka,A,L
330,Locustella naevia,świerszczak,A,L
331,Iduna caligata,zaganiacz mały,A,Z
332,Iduna pallida,zaganiacz blady,A,z
333,Hippolais polyglotta,zaganiacz szczebiotliwy,A,z
334,Hippolais icterina,zaganiacz,A,L
335,Acrocephalus paludicola,wodniczka,A,L
336,Acrocephalus melanopogon,tamaryszka,A,z
337,Acrocephalus schoenobaenus,rokitniczka,A,L
338,Acrocephalus dumetorum,zaroślówka,A,l P
339,Acrocephalus palustris,łozówka,A,L
340,Acrocephalus scirpaceus,trzcinniczek,A,L
